symbol element   z   a       mass coherent_scattering_length_real coherent_scattering_length_imag incoherent_scattering_length_real incoherent_scattering_length_imag coherent_cross_section incoherent_cross_section total_cross_section
Fe56   Fe       26  56  55.934942                        9.940000                        0.000000                          0.000000                          0.000000              12.420000                 0.000000           12.420000
Fe57   Fe       26  57  56.935399                        2.300000                        0.000000                          0.000000                          0.000000               0.660000                 0.300000            1.000000
Fe58   Fe       26  58  57.933281                       15.000000                        0.000000                          0.000000                          0.000000              28.000000                 0.000000           28.000000
Ni58   Ni       28  58  57.935348                       14.400000                        0.000000                          0.000000                          0.000000              26.100000                 0.000000           26.100000
Ni60   Ni       28  60  59.930791                        2.800000                        0.000000                          0.000000                          0.000000               0.990000                 0.000000            0.990000
Ni61   Ni       28  61  60.931060                        7.600000                        0.000000                               nan                          0.000000               7.260000                 1.900000            9.200000
Ni62   Ni       28  62  61.928349                       -8.700000                        0.000000                          0.000000                          0.000000               9.500000                 0.000000            9.500000
Ni64   Ni       28  64  63.927970                       -0.370000                        0.000000                          0.000000                          0.000000               0.017000                 0.000000            0.017000
Cu63   Cu       29  63  62.929601                        6.430000                        0.000000                          0.220000                          0.000000               5.200000                 0.006000            5.200000
Cu65   Cu       29  65  64.927794                       10.610000                        0.000000                          1.790000                          0.000000              14.100000                 0.400000           14.500000
Zn64   Zn       30  64  63.929147                        5.220000                        0.000000                          0.000000                          0.000000               3.420000                 0.000000            3.420000
Zn66   Zn       30  66  65.926037                        5.970000                        0.000000                          0.000000                          0.000000               4.480000                 0.000000            4.480000
Zn67   Zn       30  67  66.927131                        7.560000                        0.000000                         -1.500000                          0.000000               7.180000                 0.280000            7.460000
Zn68   Zn       30  68  67.924848                        6.030000                        0.000000                          0.000000                          0.000000               4.570000                 0.000000            4.570000
Zn70   Zn       30  70  69.925325                        6.000000                        0.000000                          0.000000                          0.000000               4.500000                 0.000000            4.500000
Ga69   Ga       31  69  68.925581                        7.880000                        0.000000                         -0.850000                          0.000000               7.800000                 0.091000            7.890000
Ga71   Ga       31  71  70.924705                        6.400000                        0.000000                         -0.820000                          0.000000               5.150000                 0.084000            5.230000
Ge70   Ge       32  70  69.924250                       10.000000                        0.000000                          0.000000                          0.000000              12.600000                 0.000000           12.600000
Ge72   Ge       32  72  71.922076                        8.510000                        0.000000                          0.000000                          0.000000               9.100000                 0.000000            9.100000
Ge73   Ge       32  73  72.923459                        5.020000                        0.000000                          3.400000                          0.000000               3.170000                 1.500000            4.700000
Ge74   Ge       32  74  73.921178                        7.580000                        0.000000                          0.000000                          0.000000               7.200000                 0.000000            7.200000
Ge76   Ge       32  76  75.921403                        8.200000                        0.000000                          0.000000                          0.000000               8.000000                 0.000000            8.000000
Se74   Se       34  74  73.922477                        0.800000                        0.000000                          0.000000                          0.000000               0.100000                 0.000000            0.100000
Se76   Se       34  76  75.919214                       12.200000                        0.000000                          0.000000                          0.000000              18.700000                 0.000000           18.700000
Se77   Se       34  77  76.919915                        8.250000                        0.000000                               nan                          0.000000               8.600000                 0.050000            8.650000
Se78   Se       34  78  77.917310                        8.240000                        0.000000                          0.000000                          0.000000               8.500000                 0.000000            8.500000
Se80   Se       34  80  79.916522                        7.480000                        0.000000                          0.000000                          0.000000               7.030000                 0.000000            7.030000
Se82   Se       34  82  81.916700                        6.340000                        0.000000                          0.000000                          0.000000               5.050000                 0.000000            5.050000
Br79   Br       35  79  78.918338                        6.800000                        0.000000                         -1.100000                          0.000000               5.810000                 0.150000            5.960000
Br81   Br       35  81  80.916291                        6.790000                        0.000000                          0.600000                          0.000000               5.790000                 0.050000            5.840000
Kr78   Kr       36  78  77.920386                        0.000000                        0.000000                          0.000000                          0.000000               0.000000                 0.000000            0.000000
