symbol,z_number,a_number,mass (amu),spin,abundance (%),half_life (year),coherent_scattering_length (fm),incoherent_scattering_length (fm),coherent_cross_section (barn),incoherent_cross_section (barn),scattering_cross_section (barn),absorption_cross_section (barn)
Cd,48,111,110.904183776,1/2(+),12.81,,(6.5+0j),,5.3,0.3,5.6,24.0
Cd,48,112,111.902763896,0(+),24.13,,(6.4+0j),,5.1,,5.1,2.2
Cd,48,113,112.904408105,1/2(+),12.22,,(-8-5.73j),,12.1,0.3,12.4,20600.0
Cd,48,114,113.903364998,0(+),28.72,,(7.5+0j),,7.1,,7.1,0.34
Cd,48,116,115.90476323,0(+),7.47,,(6.3+0j),,5.0,,5.0,0.075
In,49,,114.818,,,,(4.065-0.0539j),,2.08,0.54,2.62,193.8
In,49,113,112.904060451,9/2(+),4.3,,(5.39+0j),(±0.017000+0.000000j),3.65,3.7e-05,3.65,12.0
In,49,115,114.903878772,9/2(+),95.7,,(4.01-0.0562j),(-2.1+0j),2.02,0.55,2.57,202.0
Sn,50,,118.71,,,,(6.225+0j),,4.87,0.022,4.892,0.626
Sn,50,112,111.904824894,0(+),1.0,,(6+0j),,4.5,,4.5,1.0
Sn,50,114,113.90278013,0(+),0.7,,(6.2+0j),,4.8,,4.8,0.114
Sn,50,115,114.903344695,1/2(+),0.4,,(6+0j),,4.5,0.3,4.8,30.0
Sn,50,116,115.901742825,0(+),14.7,,(5.93+0j),,4.42,,4.42,0.14
Sn,50,117,116.902954036,1/2(+),7.7,,(6.48+0j),,5.28,0.3,5.6,2.3
Sn,50,118,117.90160663,0(+),24.3,,(6.07+0j),,4.63,,4.63,0.22
Sn,50,119,118.903311266,1/2(+),8.6,,(6.12+0j),,4.71,0.3,5.0,2.2
Sn,50,120,119.902202557,0(+),32.4,,(6.49+0j),,5.29,,5.29,0.14
Sn,50,122,121.903445494,0(+),4.6,,(5.74+0j),,4.14,,4.14,0.18
Sn,50,124,123.905279619,0(+),5.6,,(5.97+0j),,4.48,,4.48,0.133
Sb,51,,121.76,,,,(5.57+0j),,3.9,,3.9,4.91
Sb,51,121,120.903811353,5/2(+),57.3,,(5.71+0j),(-0.05+0j),4.1,0.0003,4.1,5.75
Sb,51,123,122.904215292,7/2(+),42.7,,(5.38+0j),(-0.1+0j),3.64,0.001,3.64,3.8
Te,52,,127.6,,,,(5.8+0j),,4.23,0.09,4.32,4.7
Te,52,120,119.904065779,0(+),0.096,,(5.3+0j),,3.5,,3.5,2.3
Te,52,122,121.903044708,0(+),2.6,,(3.8+0j),,1.8,,1.8,3.4
Te,52,123,122.904271022,1/2(+),0.908,,(-0.05-0.116j),(-2.04+0j),0.002,0.52,0.52,418.0
Te,52,124,123.902818341,0(+),4.816,,(7.96+0j),,8.0,,8.0,6.8
Te,52,125,124.904431178,1/2(+),7.14,,(5.02+0j),(-0.26+0j),3.17,0.008,3.18,1.55
Te,52,126,125.903312144,00(+),18.95,,(5.56+0j),,3.88,,3.88,1.04
Te,52,128,127.904461237,0(+),31.69,,(5.89+0j),,4.36,,4.36,0.215
Te,52,130,129.906222745,0(+),33.8,,(6.02+0j),,4.55,,4.55,0.29
I,53,127,126.904472592,5/2(+),100.0,,(5.28+0j),(1.58+0j),3.5,0.31,3.81,6.15
Xe,54,,131.293,,,,(4.92+0j),,3.04,,,23.9
Xe,54,124,123.905885174,0(+),0.1,,,,,,,165.0
Xe,54,126,125.904297422,0(+),0.09,,,,,,,3.5
